label_id,label_name,glb_node,match_score,notes
49,Right Calc calcarine cortex,,0.595,LOW_CONF
50,Left Calc calcarine cortex,,0.595,LOW_CONF
81,Right MOrG medial orbital gyrus,,0.595,LOW_CONF
82,Left MOrG medial orbital gyrus,,0.595,LOW_CONF
41,Right ACgG anterior cingulate gyrus,,0.593,LOW_CONF
42,Left ACgG anterior cingulate gyrus,,0.593,LOW_CONF
36,Cerebellar Vermal Lobules I-V,,0.578,LOW_CONF
93,Right OFuG occipital fusiform gyrus,,0.577,LOW_CONF
94,Left OFuG occipital fusiform gyrus,,0.577,LOW_CONF
43,Right AIns anterior insula,,0.565,LOW_CONF
44,Left AIns anterior insula,,0.565,LOW_CONF
117,Right PT planum temporale,,0.562,LOW_CONF
118,Left PT planum temporale,,0.562,LOW_CONF
105,Right PIns posterior insula,,0.56,LOW_CONF
106,Left PIns posterior insula,,0.56,LOW_CONF
7,Brain Stem,,0.556,LOW_CONF
21,Right Inf Lat Vent,,0.552,LOW_CONF
22,Left Inf Lat Vent,,0.552,LOW_CONF
37,Cerebellar Vermal Lobules VI-VII,,0.542,LOW_CONF
38,Cerebellar Vermal Lobules VIII-X,,0.542,LOW_CONF
75,Right MFC medial frontal cortex,,0.542,LOW_CONF
76,Left MFC medial frontal cortex,,0.542,LOW_CONF
61,Right FuG fusiform gyrus,,0.537,LOW_CONF
62,Left FuG fusiform gyrus,,0.537,LOW_CONF
14,Right Cerebral Exterior,,0.529,LOW_CONF
15,Left Cerebral Exterior,,0.529,LOW_CONF
10,Right Cerebellum Exterior,,0.513,LOW_CONF
11,Left Cerebellum Exterior,,0.513,LOW_CONF
33,Right vessel,,0.5,LOW_CONF
34,Left vessel,,0.5,LOW_CONF
55,Right Ent entorhinal area,,0.485,LOW_CONF
56,Left Ent entorhinal area,,0.485,LOW_CONF
113,Right PP planum polare,,0.483,LOW_CONF
114,Left PP planum polare,,0.483,LOW_CONF
16,Right Cerebral White Matter,,0.48,LOW_CONF
17,Left Cerebral White Matter,,0.48,LOW_CONF
123,Right SMC supplementary motor cortex,,0.473,LOW_CONF
124,Left SMC supplementary motor cortex,,0.473,LOW_CONF
12,Right Cerebellum White Matter,,0.465,LOW_CONF
13,Left Cerebellum White Matter,,0.465,LOW_CONF
119,Right SCA subcallosal area,,0.453,LOW_CONF
120,Left SCA subcallosal area,,0.453,LOW_CONF
18,CSF,,0.444,LOW_CONF
39,Left Basal Forebrain,,0.444,LOW_CONF
40,Right Basal Forebrain,,0.444,LOW_CONF
3,Right Accumbens Area,,0.41,LOW_CONF
4,Left Accumbens Area,,0.41,LOW_CONF
6,Left Amygdala,Amygdaloid body.l,1.0,
5,Right Amygdala,Amygdaloid body.r,1.0,
48,Left AnG angular gyrus,Angular gyrus.l,1.0,
47,Right AnG angular gyrus,Angular gyrus.r,1.0,
9,Left Caudate,Caudate nucleus.l,1.0,
8,Right Caudate,Caudate nucleus.r,1.0,
32,Left Ventral DC,Central sulcus.l,0.667,
31,Right Ventral DC,Central sulcus.r,0.667,
54,Left Cun cuneus,Cuneus.l,1.0,
53,Right Cun cuneus,Cuneus.r,1.0,
26,Left Pallidum,Globus pallidus.l,1.0,
25,Right Pallidum,Globus pallidus.r,1.0,
20,Left Hippocampus,Hippocampus.l,1.0,
104,Left PHG parahippocampal gyrus,Hippocampus.l,0.611,
19,Right Hippocampus,Hippocampus.r,1.0,
103,Right PHG parahippocampal gyrus,Hippocampus.r,0.611,
60,Left FRP frontal pole,Inferior frontal sulcus.l,0.615,
58,Left FO frontal operculum,Inferior frontal sulcus.l,0.605,
59,Right FRP frontal pole,Inferior frontal sulcus.r,0.615,
57,Right FO frontal operculum,Inferior frontal sulcus.r,0.605,
66,Left IOG inferior occipital gyrus,Inferior occipital gyrus and sulcus*.l,0.75,
65,Right IOG inferior occipital gyrus,Inferior occipital gyrus and sulcus*.r,0.75,
68,Left ITG inferior temporal gyrus,Inferior temporal gyrus.l,1.0,
